b'1811',16/2/2011,T,01
b'1811',16/2/2011,T,04
b'1811',16/2/2011,T,23
b'1811',16/2/2011,T,28
b'1811',16/2/2011,T,43
b'1811',16/2/2011,T,45
b'1811',16/2/2011,S,09
b'1811',16/2/2011,S,15
b'1811',16/2/2011,S,16
b'1811',16/2/2011,S,20
b'1811',16/2/2011,S,33
b'1811',16/2/2011,S,40
b'1811',16/2/2011,R,05
b'1811',16/2/2011,R,09
b'1811',16/2/2011,R,14
b'1811',16/2/2011,R,24
b'1811',16/2/2011,R,31
b'1811',16/2/2011,R,33
b'1811',16/2/2011,SS,01
b'1811',16/2/2011,SS,06
b'1811',16/2/2011,SS,07
b'1811',16/2/2011,SS,09
b'1811',16/2/2011,SS,20
b'1811',16/2/2011,SS,38
b'1542',20/7/2008,T,01
b'1542',20/7/2008,T,18
b'1542',20/7/2008,T,30
b'1542',20/7/2008,T,35
b'1542',20/7/2008,T,42
b'1542',20/7/2008,T,43
b'1542',20/7/2008,S,04
b'1542',20/7/2008,S,10
b'1542',20/7/2008,S,11
b'1542',20/7/2008,S,17
b'1542',20/7/2008,S,34
b'1542',20/7/2008,S,42
b'1542',20/7/2008,R,15
b'1542',20/7/2008,R,26
b'1542',20/7/2008,R,30
b'1542',20/7/2008,R,38
b'1542',20/7/2008,R,39
b'1542',20/7/2008,R,45
b'1542',20/7/2008,SS,03
b'1542',20/7/2008,SS,05
b'1542',20/7/2008,SS,10
b'1542',20/7/2008,SS,12
b'1542',20/7/2008,SS,20
b'1542',20/7/2008,SS,25
b'1407',28/3/2007,T,04
b'1407',28/3/2007,T,31
b'1407',28/3/2007,T,33
b'1407',28/3/2007,T,40
b'1407',28/3/2007,T,42
b'1407',28/3/2007,T,45
b'1407',28/3/2007,S,05
b'1407',28/3/2007,S,07
b'1407',28/3/2007,S,12
b'1407',28/3/2007,S,14
b'1407',28/3/2007,S,21
b'1407',28/3/2007,S,39
b'1407',28/3/2007,R,03
b'1407',28/3/2007,R,09
b'1407',28/3/2007,R,14
b'1407',28/3/2007,R,20
b'1407',28/3/2007,R,24
b'1407',28/3/2007,R,29
b'1407',28/3/2007,SS,04
b'1407',28/3/2007,SS,12
b'1407',28/3/2007,SS,16
b'1407',28/3/2007,SS,22
b'1407',28/3/2007,SS,26
b'1407',28/3/2007,SS,32
b'1954',1/7/2012,T,01
b'1954',1/7/2012,T,03
b'1954',1/7/2012,T,15
b'1954',1/7/2012,T,18
b'1954',1/7/2012,T,40
b'1954',1/7/2012,T,43
b'1954',1/7/2012,S,02
b'1954',1/7/2012,S,07
b'1954',1/7/2012,S,09
b'1954',1/7/2012,S,31
b'1954',1/7/2012,S,40
b'1954',1/7/2012,S,43
b'1954',1/7/2012,R,05
b'1954',1/7/2012,R,14
b'1954',1/7/2012,R,21
b'1954',1/7/2012,R,23
b'1954',1/7/2012,R,31
b'1954',1/7/2012,R,32
b'1954',1/7/2012,SS,13
b'1954',1/7/2012,SS,14
b'1954',1/7/2012,SS,15
b'1954',1/7/2012,SS,19
b'1954',1/7/2012,SS,20
b'1954',1/7/2012,SS,38
b'2381',3/8/2016,T,07
b'2381',3/8/2016,T,10
b'2381',3/8/2016,T,19
b'2381',3/8/2016,T,23
b'2381',3/8/2016,T,27
b'2381',3/8/2016,T,31
b'2381',3/8/2016,S,02
b'2381',3/8/2016,S,13
b'2381',3/8/2016,S,21
b'2381',3/8/2016,S,38
b'2381',3/8/2016,S,39
b'2381',3/8/2016,S,40
b'2381',3/8/2016,R,07
b'2381',3/8/2016,R,16
b'2381',3/8/2016,R,17
b'2381',3/8/2016,R,22
b'2381',3/8/2016,R,39
b'2381',3/8/2016,R,40
b'2381',3/8/2016,SS,12
b'2381',3/8/2016,SS,24
b'2381',3/8/2016,SS,25
b'2381',3/8/2016,SS,31
b'2381',3/8/2016,SS,36
b'2381',3/8/2016,SS,42
b'1684',29/11/2009,T,05
b'1684',29/11/2009,T,06
b'1684',29/11/2009,T,07
b'1684',29/11/2009,T,20
b'1684',29/11/2009,T,21
b'1684',29/11/2009,T,31
b'1684',29/11/2009,S,03
b'1684',29/11/2009,S,10
b'1684',29/11/2009,S,11
b'1684',29/11/2009,S,16
b'1684',29/11/2009,S,22
b'1684',29/11/2009,S,35
b'1684',29/11/2009,R,01
b'1684',29/11/2009,R,02
b'1684',29/11/2009,R,21
b'1684',29/11/2009,R,25
b'1684',29/11/2009,R,26
b'1684',29/11/2009,R,34
b'1684',29/11/2009,SS,23
